"epoch","mse","A1_norm","A1_rank","A1_cond","A1_det","A2_norm","A2_rank","A2_cond","A2_det","W1_norm","W1_rank","W1_cond","W1_mean_chnage","W1_min_chnage","W1_max_chnage","W2_norm","W2_rank","W2_cond","W2_mean_chnage","W2_min_chnage","W2_max_chnage","strong_sat","soft_sat","linear_region"
67,3.34866159225752e-05,3.3411806289003,2,2.68163497574589,3.18777787286746,3.60967369693853,5,711173834590227840,-8.09800365274979e-164,2.1062056552181,2,6.34311126158454,0.000692208554641538,8.93703152285974e-05,0.00160740172887766,10.220957285248,1,1,0.0144193689795804,0.0108366242745247,0.0200623682194496,0,0,0.330833333333333
68,4.01500438776809e-05,2.92141392857705,2,2.36459662640618,2.73839619001823,3.64386148554464,5,22835854061162332160,3.17871029376999e-163,2.10492318949781,2,6.44627695351027,0.000807461869869088,0.000172953125947863,0.00275958255761255,10.5115340823489,1,1,0.0151300828506187,0.0106489048442196,0.0224211390395156,0,0,0.331761904761905
69,3.67712007171866e-05,3.49030978265249,2,3.00581601894892,3.31354530607725,3.53810588939601,5,878945227601220608,-1.48609387844123e-164,2.10721907979918,2,6.50531456526543,0.00094754021132935,0.000217074503143317,0.00256830511522874,10.7886189734362,1,1,0.014617616829727,0.0108802172671503,0.0285797700357918,0,0,0.331988095238095
70,3.77115978158549e-05,3.10602702241355,2,2.59144126245239,2.92381992007217,3.56811556304398,5,2175731557427370240,3.7703099700005e-164,2.1086565624515,2,6.61008663440821,0.000761546282262459,0.00018507905265597,0.00227217379014675,11.0887774973305,1,1,0.0155302886796635,0.0104022809950757,0.0293813823978972,0,0,0.331952380952381
71,6.87662493882026e-05,3.27491473302943,2,2.75406794313865,3.10040687172658,3.68668244292767,5,7990892509041343488,1.71870812924362e-163,2.11241593445145,2,6.80891184258963,0.00107600057575929,0.000227765821722215,0.00650978785369849,11.4101009842273,1,1,0.0166465203862216,0.010604344442036,0.0294054704413841,0,0,0.331047619047619
72,8.26470181923076e-05,3.0320260417644,2,2.38823154897784,2.86231025366857,3.62791726526681,5,1192112252553418752,-4.96636924208135e-166,2.10816454812562,2,6.92577284678466,0.000879190700238117,0.000185996915567975,0.00578548440263703,11.7755838338411,1,1,0.0183441362221636,0.0146491402180406,0.0321384713100713,0,0,0.330916666666667
73,8.66094159360637e-05,3.22997278890981,2,2.79574195823575,3.03133871078779,3.70393954560747,5,3161139803591080448,-5.04988335075932e-166,2.10484224157446,2,7.00313779862664,0.000690102809478104,8.85907979655733e-05,0.00177873255218893,12.1631626316768,1,1,0.0185409524597764,0.0138121376750997,0.0243361671538908,0,0,0.33077380952381
74,9.14038644187762e-05,3.21150485932001,2,2.69198976442362,3.03442765431202,3.67313249041117,5,356165551714980992,1.28909965276308e-166,2.10109958183579,2,7.08895585400394,0.000747231885364961,3.77656032049242e-05,0.00202780428010345,12.5521208397312,1,1,0.0182715087239579,0.0148972921988868,0.0245987673719457,0,0,0.331023809523809
75,0.00010444074592757,3.55018170088965,2,2.95130959781172,3.39937524806605,3.58988026401512,5,3815887339371671552,-7.62830035211589e-167,2.10060519816938,2,7.20506379582291,0.000683879014566438,4.99236717138701e-05,0.00130289347487081,12.9367807454016,1,1,0.0180543263130593,0.0137915132333703,0.0218612958904536,0,0,0.33047619047619
76,0.000103203727997061,3.26479924733412,2,2.68344797905192,3.10105660467288,3.65181386170406,5,2261056109005312512,-1.17288160675811e-167,2.09774590331881,2,7.27033174798285,0.000748300424002884,0.000161862615992839,0.00416141339566806,13.3248092156929,1,1,0.018452573532841,0.0154250933873518,0.0235326632857769,0,0,0.33097619047619
77,0.000136822702952858,3.08378400263576,2,2.44288492947011,2.91692120791427,3.61663656038069,5,439824155095600256,3.92058541772989e-169,2.09441485623289,2,7.42494644292047,0.000755770176370932,0.000241259499384048,0.00316923961085729,13.7320521118385,1,1,0.0188414517973525,0.0158347824979822,0.0265641854215964,0,0,0.331583333333333
78,0.000131250358134335,3.25761648706868,2,2.71203610150494,3.08756924557468,3.57784471389675,5,727833711765273856,6.70815608832978e-168,2.09168161713108,2,7.47735423331923,0.000624665869074202,0.000164126032981985,0.00143551299194033,14.1283407992281,1,1,0.01825082288458,0.0161188425448456,0.0201239542583294,0,0,0.332202380952381
